Time,Open,High,Low,Close,Volume,Spread
2024-01-02,155.53,155.581,155.53,155.565,30,175
2024-01-02,155.565,155.607,155.525,155.576,91,121
2024-01-02,155.576,155.647,155.527,155.55,46,125
2024-01-02,155.551,155.597,155.543,155.574,52,75
2024-01-02,155.575,155.61,155.434,155.438,652,52
2024-01-02,155.438,155.561,155.437,155.559,647,52
2024-01-02,155.559,155.598,155.52,155.585,1003,17
2024-01-02,155.583,155.765,155.583,155.742,1439,16
2024-01-02,155.749,155.819,155.732,155.818,679,16
2024-01-02,155.82,156.01,155.803,155.936,863,16
2024-01-02,155.942,155.969,155.869,155.915,742,16
2024-01-02,155.914,155.942,155.797,155.803,863,16
2024-01-02,155.805,155.942,155.805,155.92,1020,16
2024-01-02,155.919,156.045,155.904,156.031,1050,16
2024-01-02,156.028,156.137,155.987,156.052,1354,16
2024-01-02,156.056,156.127,156.054,156.083,522,16
2024-01-02,156.084,156.096,155.989,155.995,454,16
2024-01-02,155.995,155.995,155.9,155.921,835,16
2024-01-02,155.922,156.19,155.904,155.977,1431,16
2024-01-02,155.977,156.045,155.947,155.991,930,16
2024-01-02,155.989,156.051,155.985,156.008,802,16
2024-01-02,156.005,156.143,156.003,156.133,725,16
2024-01-02,156.134,156.136,156.054,156.093,531,16
2024-01-02,156.092,156.105,156.0,156.006,644,16
2024-01-02,156.006,156.039,155.953,156.031,665,16
2024-01-02,156.031,156.06,155.986,155.988,288,16
2024-01-02,155.988,156.01,155.955,155.986,357,16
2024-01-02,155.985,155.999,155.951,155.997,539,16
2024-01-02,155.998,156.022,155.932,155.962,658,16
2024-01-02,155.963,156.013,155.943,155.984,508,16
2024-01-02,155.984,156.036,155.957,156.023,593,16
2024-01-02,156.022,156.022,155.925,155.961,739,16
2024-01-02,155.959,156.006,155.946,156.002,807,16
2024-01-02,156.002,156.029,155.948,155.986,739,16
2024-01-02,155.986,156.071,155.95,156.035,935,16
2024-01-02,156.034,156.128,156.021,156.084,876,16
2024-01-02,156.082,156.136,156.024,156.042,1367,16
2024-01-02,156.046,156.135,156.025,156.12,1573,16
2024-01-02,156.121,156.122,156.022,156.027,1354,16
2024-01-02,156.025,156.119,155.92,155.925,2405,16
2024-01-02,155.925,156.064,155.925,155.948,3161,16
2024-01-02,155.947,155.979,155.84,155.965,2269,16
2024-01-02,155.965,156.099,155.956,156.044,2035,16
2024-01-02,156.048,156.194,156.037,156.139,2317,16
2024-01-02,156.138,156.339,156.101,156.313,1793,16
2024-01-02,156.312,156.34,156.148,156.151,1620,16
2024-01-02,156.15,156.161,155.858,155.866,1834,16
2024-01-02,155.865,155.928,155.79,155.926,1726,16
2024-01-02,155.925,155.927,155.765,155.85,1488,16
2024-01-02,155.847,155.998,155.839,155.877,2381,16
2024-01-02,155.875,155.959,155.847,155.933,2511,16
2024-01-02,155.934,155.952,155.857,155.927,1620,16
2024-01-02,155.927,155.941,155.734,155.739,2299,16
2024-01-02,155.738,155.77,155.584,155.618,2280,16
2024-01-02,155.619,155.712,155.6,155.666,2531,16
2024-01-02,155.665,155.669,155.541,155.578,1741,16
2024-01-02,155.578,155.645,155.545,155.633,2211,16
2024-01-02,155.632,155.8,155.628,155.782,2785,16
2024-01-02,155.78,155.919,155.768,155.833,2791,16
2024-01-02,155.832,155.888,155.674,155.678,2494,16
2024-01-02,155.677,155.736,155.615,155.636,2934,16
2024-01-02,155.634,155.68,155.531,155.574,2592,16
2024-01-02,155.575,155.627,155.53,155.592,2461,16
2024-01-02,155.591,155.706,155.546,155.697,2478,16
2024-01-02,155.693,155.715,155.471,155.471,2138,16
2024-01-02,155.472,155.479,155.255,155.319,2323,16
2024-01-02,155.325,155.487,155.316,155.46,3428,16
2024-01-02,155.452,155.491,155.066,155.187,4236,16
2024-01-02,155.189,155.28,155.182,155.234,3221,16
2024-01-02,155.233,155.327,155.213,155.305,3189,16
2024-01-02,155.307,155.467,155.25,155.462,2721,16
2024-01-02,155.464,155.487,155.308,155.323,3120,16
2024-01-02,155.324,155.393,155.283,155.339,2721,16
2024-01-02,155.338,155.415,155.33,155.365,1921,16
2024-01-02,155.364,155.434,155.341,155.393,1805,16
2024-01-02,155.394,155.491,155.377,155.47,1064,16
2024-01-02,155.47,155.483,155.412,155.431,1340,16
2024-01-02,155.43,155.477,155.407,155.463,1444,16
2024-01-02,155.462,155.497,155.457,155.477,821,16
2024-01-02,155.477,155.493,155.44,155.469,1133,16
2024-01-02,155.469,155.482,155.446,155.455,832,16
2024-01-02,155.454,155.463,155.41,155.423,931,16
2024-01-02,155.424,155.482,155.413,155.47,662,16
2024-01-02,155.47,155.482,155.396,155.397,843,16
2024-01-02,155.397,155.401,155.328,155.392,793,16
2024-01-02,155.391,155.421,155.371,155.398,692,16
2024-01-02,155.397,155.413,155.374,155.413,653,16
2024-01-02,155.412,155.449,155.385,155.391,796,16
2024-01-02,155.391,155.416,155.37,155.389,592,16
